module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
skm,anytime,Document Project,DP,,_skad/skm/workflows/document-project/workflow.yaml,skad-skm-document-project,false,analyst,Create Mode,"Analyze an existing project to produce useful documentation",project-knowledge,*,
skm,anytime,Generate Project Context,GPC,,_skad/skm/workflows/generate-project-context/workflow.md,skad-skm-generate-project-context,false,analyst,Create Mode,"Scan existing codebase to generate a lean LLM-optimized project-context.md containing critical implementation rules patterns and conventions for AI agents. Essential for brownfield projects and quick-flow.",output_folder,"project context",
skm,anytime,Quick Spec,QS,,_skad/skm/workflows/skad-quick-flow/quick-spec/workflow.md,skad-skm-quick-spec,false,quick-flow-solo-dev,Create Mode,"Do not suggest for potentially very complex things unless requested or if the user complains that they do not want to follow the extensive planning of the skad method. Quick one-off tasks small changes simple apps brownfield additions to well established patterns utilities without extensive planning",planning_artifacts,"tech spec",
skm,anytime,Quick Dev,QD,,_skad/skm/workflows/skad-quick-flow/quick-dev/workflow.md,skad-skm-quick-dev,false,quick-flow-solo-dev,Create Mode,"Quick one-off tasks small changes simple apps utilities without extensive planning - Do not suggest for potentially very complex things unless requested or if the user complains that they do not want to follow the extensive planning of the skad method, unless the user is already working through the implementation phase and just requests a 1 off things not already in the plan",,,
skm,anytime,Correct Course,CC,,_skad/skm/workflows/4-implementation/correct-course/workflow.yaml,skad-skm-correct-course,false,sm,Create Mode,"Anytime: Navigate significant changes. May recommend start over update PRD redo architecture sprint planning or correct epics and stories",planning_artifacts,"change proposal",
skm,anytime,Write Document,WD,,_skad/skm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Describe in detail what you want, and the agent will follow the documentation best practices defined in agent memory. Multi-turn conversation with subprocess for research/review.",project-knowledge,"document",
skm,anytime,Update Standards,US,,_skad/skm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Update agent memory documentation-standards.md with your specific preferences if you discover missing document conventions.",_skad/_memory/tech-writer-sidecar,"standards",
skm,anytime,Mermaid Generate,MG,,_skad/skm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Create a Mermaid diagram based on user description. Will suggest diagram types if not specified.",planning_artifacts,"mermaid diagram",
skm,anytime,Validate Document,VD,,_skad/skm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Review the specified document against documentation standards and best practices. Returns specific actionable improvement suggestions organized by priority.",planning_artifacts,"validation report",
skm,anytime,Explain Concept,EC,,_skad/skm/agents/tech-writer/tech-writer.agent.yaml,,false,tech-writer,,"Create clear technical explanations with examples and diagrams for complex concepts. Breaks down into digestible sections using task-oriented approach.",project_knowledge,"explanation",
skm,1-analysis,Brainstorm Project,BP,10,_skad/core/workflows/brainstorming/workflow.md,skad-brainstorming,false,analyst,data=_skad/skm/data/project-context-template.md,"Expert Guided Facilitation through a single or multiple techniques",planning_artifacts,"brainstorming session",
skm,1-analysis,Market Research,MR,20,_skad/skm/workflows/1-analysis/research/workflow-market-research.md,skad-skm-market-research,false,analyst,Create Mode,"Market analysis competitive landscape customer needs and trends","planning_artifacts|project-knowledge","research documents",
skm,1-analysis,Domain Research,DR,21,_skad/skm/workflows/1-analysis/research/workflow-domain-research.md,skad-skm-domain-research,false,analyst,Create Mode,"Industry domain deep dive subject matter expertise and terminology","planning_artifacts|project_knowledge","research documents",
skm,1-analysis,Technical Research,TR,22,_skad/skm/workflows/1-analysis/research/workflow-technical-research.md,skad-skm-technical-research,false,analyst,Create Mode,"Technical feasibility architecture options and implementation approaches","planning_artifacts|project_knowledge","research documents",
skm,1-analysis,Create Brief,CB,30,_skad/skm/workflows/1-analysis/create-product-brief/workflow.md,skad-skm-create-product-brief,false,analyst,Create Mode,"A guided experience to nail down your product idea",planning_artifacts,"product brief",
skm,2-planning,Create PRD,CP,10,_skad/skm/workflows/2-plan-workflows/create-prd/workflow-create-prd.md,skad-skm-create-prd,true,pm,Create Mode,"Expert led facilitation to produce your Product Requirements Document",planning_artifacts,prd,
skm,2-planning,Validate PRD,VP,20,_skad/skm/workflows/2-plan-workflows/create-prd/workflow-validate-prd.md,skad-skm-validate-prd,false,pm,Validate Mode,"Validate PRD is comprehensive lean well organized and cohesive",planning_artifacts,"prd validation report",
skm,2-planning,Edit PRD,EP,25,_skad/skm/workflows/2-plan-workflows/create-prd/workflow-edit-prd.md,skad-skm-edit-prd,false,pm,Edit Mode,"Improve and enhance an existing PRD",planning_artifacts,"updated prd",
skm,2-planning,Create UX,CU,30,_skad/skm/workflows/2-plan-workflows/create-ux-design/workflow.md,skad-skm-create-ux-design,false,ux-designer,Create Mode,"Guidance through realizing the plan for your UX, strongly recommended if a UI is a primary piece of the proposed project",planning_artifacts,"ux design",
skm,3-solutioning,Create Architecture,CA,10,_skad/skm/workflows/3-solutioning/create-architecture/workflow.md,skad-skm-create-architecture,true,architect,Create Mode,"Guided Workflow to document technical decisions",planning_artifacts,architecture,
skm,3-solutioning,Create Epics and Stories,CE,30,_skad/skm/workflows/3-solutioning/create-epics-and-stories/workflow.md,skad-skm-create-epics-and-stories,true,pm,Create Mode,"Create the Epics and Stories Listing",planning_artifacts,"epics and stories",
skm,3-solutioning,Check Implementation Readiness,IR,70,_skad/skm/workflows/3-solutioning/check-implementation-readiness/workflow.md,skad-skm-check-implementation-readiness,true,architect,Validate Mode,"Ensure PRD UX Architecture and Epics Stories are aligned",planning_artifacts,"readiness report",
skm,4-implementation,Sprint Planning,SP,10,_skad/skm/workflows/4-implementation/sprint-planning/workflow.yaml,skad-skm-sprint-planning,true,sm,Create Mode,"Generate sprint plan for development tasks - this kicks off the implementation phase by producing a plan the implementation agents will follow in sequence for every story in the plan.",implementation_artifacts,"sprint status",
skm,4-implementation,Sprint Status,SS,20,_skad/skm/workflows/4-implementation/sprint-status/workflow.yaml,skad-skm-sprint-status,false,sm,Create Mode,"Anytime: Summarize sprint status and route to next workflow",,,
skm,4-implementation,Validate Story,VS,35,_skad/skm/workflows/4-implementation/create-story/workflow.yaml,skad-skm-create-story,false,sm,Validate Mode,"Validates story readiness and completeness before development work begins",implementation_artifacts,"story validation report",
skm,4-implementation,Create Story,CS,30,_skad/skm/workflows/4-implementation/create-story/workflow.yaml,skad-skm-create-story,true,sm,Create Mode,"Story cycle start: Prepare first found story in the sprint plan that is next, or if the command is run with a specific epic and story designation with context. Once complete, then VS then DS then CR then back to DS if needed or next CS or ER",implementation_artifacts,story,
skm,4-implementation,Dev Story,DS,40,_skad/skm/workflows/4-implementation/dev-story/workflow.yaml,skad-skm-dev-story,true,dev,Create Mode,"Story cycle: Execute story implementation tasks and tests then CR then back to DS if fixes needed",,,
skm,4-implementation,Code Review,CR,50,_skad/skm/workflows/4-implementation/code-review/workflow.yaml,skad-skm-code-review,false,dev,Create Mode,"Story cycle: If issues back to DS if approved then next CS or ER if epic complete",,,
skm,4-implementation,QA Automation Test,QA,45,_skad/skm/workflows/qa/automate/workflow.yaml,skad-skm-qa-automate,false,qa,Create Mode,"Generate automated API and E2E tests for implemented code using the project's existing test framework (detects existing well known in use test frameworks). Use after implementation to add test coverage. NOT for code review or story validation - use CR for that.",implementation_artifacts,"test suite",
skm,4-implementation,Retrospective,ER,60,_skad/skm/workflows/4-implementation/retrospective/workflow.yaml,skad-skm-retrospective,false,sm,Create Mode,"Optional at epic end: Review completed work lessons learned and next epic or if major issues consider CC",implementation_artifacts,retrospective,
